match_id,round,venue,venue_country,home_team,away_team,predicted_home_goals,predicted_away_goals,corners,yellow_cards,red_cards,extra_time,penalties,winner_name_meta
57,Group F,"AT&T Stadium, Dallas",United States,Japan,Sweden,2,1,10,4,0,False,False,Japan
58,Group F,"GEHA Field at Arrowhead Stadium, Kansas City",United States,Tunisia,Netherlands,1,2,10,4,0,False,False,Netherlands
59,Group D,"SoFi Stadium, Los Angeles",United States,Turkey,United States,1,1,9,3,0,False,False,Draw
60,Group D,"Levi's Stadium, Santa Clara",United States,Paraguay,Australia,1,1,9,3,0,False,False,Draw
61,Group I,"Gillette Stadium, Boston",United States,Norway,France,1,2,10,4,0,False,False,France
62,Group I,"BMO Field, Toronto",Canada,Senegal,Iraq,2,1,8,3,0,False,False,Senegal
63,Group H,"NRG Stadium, Houston",United States,Cape Verde,Saudi Arabia,1,1,7,2,0,False,False,Draw
64,Group H,"Estadio Akron, Guadalajara",Mexico,Uruguay,Spain,1,2,11,5,0,False,False,Spain
65,Group G,"Lumen Field, Seattle",United States,Egypt,Iran,1,1,8,3,0,False,False,Draw
66,Group G,"BC Place, Vancouver",Canada,New Zealand,Belgium,1,2,9,3,0,False,False,Belgium
67,Group L,"MetLife Stadium, East Rutherford",United States,Panama,England,1,2,9,4,0,False,False,England
68,Group L,"Lincoln Financial Field, Philadelphia",United States,Croatia,Ghana,2,1,9,3,0,False,False,Croatia
69,Group K,"Hard Rock Stadium, Miami",United States,Colombia,Portugal,1,1,11,4,0,False,False,Draw
70,Group K,"Mercedes-Benz Stadium, Atlanta",United States,DR Congo,Uzbekistan,1,1,8,3,0,False,False,Draw
71,Group J,"GEHA Field at Arrowhead Stadium, Kansas City",United States,Algeria,Austria,1,1,9,4,0,False,False,Draw
72,Group J,"AT&T Stadium, Dallas",United States,Jordan,Argentina,1,2,9,4,0,False,False,Argentina
73,Round of 32,"SoFi Stadium, Los Angeles",United States,South Korea,Switzerland,1,2,12,4,0,True,False,Switzerland
74,Round of 32,"Gillette Stadium, Boston",United States,Germany,Bosnia and Herzegovina,3,1,10,4,0,False,False,Germany
75,Round of 32,"Estadio BBVA, Monterrey",Mexico,Netherlands,Morocco,1,1,13,5,0,True,True,Morocco
76,Round of 32,"NRG Stadium, Houston",United States,Brazil,Japan,2,1,11,4,0,False,False,Brazil
77,Round of 32,"MetLife Stadium, East Rutherford",United States,France,Scotland,2,1,10,4,0,False,False,France
78,Round of 32,"AT&T Stadium, Dallas",United States,Ecuador,Senegal,2,1,11,4,0,True,False,Ecuador
79,Round of 32,"Estadio Azteca, Mexico City",Mexico,Mexico,Ivory Coast,2,1,9,3,0,False,False,Mexico
80,Round of 32,"Mercedes-Benz Stadium, Atlanta",United States,England,Norway,2,1,10,4,0,False,False,England
81,Round of 32,"Levi's Stadium, Santa Clara",United States,United States,Austria,2,2,12,4,0,True,True,United States
82,Round of 32,"Lumen Field, Seattle",United States,Belgium,Czech Republic,2,1,10,4,0,False,False,Belgium
83,Round of 32,"BMO Field, Toronto",Canada,Colombia,Croatia,2,1,13,5,0,True,False,Colombia
84,Round of 32,"SoFi Stadium, Los Angeles",United States,Spain,Algeria,2,1,11,4,0,False,False,Spain
85,Round of 32,"BC Place, Vancouver",Canada,Canada,Tunisia,2,1,10,4,0,True,False,Canada
86,Round of 32,"Hard Rock Stadium, Miami",United States,Argentina,Uruguay,2,1,13,5,0,True,False,Argentina
87,Round of 32,"GEHA Field at Arrowhead Stadium, Kansas City",United States,Portugal,Australia,2,1,10,4,0,False,False,Portugal
88,Round of 32,"AT&T Stadium, Dallas",United States,Paraguay,Iran,1,1,11,4,0,True,True,Iran
89,Round of 16,"NRG Stadium, Houston",United States,Switzerland,Morocco,1,2,12,5,0,True,False,Morocco
90,Round of 16,"Lincoln Financial Field, Philadelphia",United States,Germany,France,1,2,11,5,0,False,False,France
